acc,label,gc_pct,bias_t,nc_t,rule,tp_ret,fp_rem,n_post,tp_pct,pass
NC_003030.1,C. acetobutyl.,30.9,0.12,4.0,OR,100.0,0.0,1271,91.0,False
NC_003030.1,C. acetobutyl.,30.9,0.12,4.0,AND,75.5,35.1,948,92.2,False
NC_003030.1,C. acetobutyl.,30.9,0.12,5.0,OR,100.0,0.0,1271,91.0,False
NC_003030.1,C. acetobutyl.,30.9,0.12,5.0,AND,75.5,35.1,948,92.2,False
NC_004350.2,S. agalactiae,36.8,0.04,2.5,OR,92.6,9.2,1020,91.3,False
NC_004350.2,S. agalactiae,36.8,0.04,2.5,AND,32.4,65.3,360,90.6,False
NC_004350.2,S. agalactiae,36.8,0.04,3.0,OR,99.6,2.0,1097,91.2,False
NC_004350.2,S. agalactiae,36.8,0.04,3.0,AND,90.2,12.2,993,91.3,False
NC_004350.2,S. agalactiae,36.8,0.04,3.5,OR,100.0,0.0,1103,91.1,False
NC_004350.2,S. agalactiae,36.8,0.04,3.5,AND,90.9,11.2,1001,91.3,False
NC_004350.2,S. agalactiae,36.8,0.04,4.0,OR,100.0,0.0,1103,91.1,False
NC_004350.2,S. agalactiae,36.8,0.04,4.0,AND,90.9,11.2,1001,91.3,False
NC_004350.2,S. agalactiae,36.8,0.04,5.0,OR,100.0,0.0,1103,91.1,False
NC_004350.2,S. agalactiae,36.8,0.04,5.0,AND,90.9,11.2,1001,91.3,False
NC_004350.2,S. agalactiae,36.8,0.06,2.5,OR,87.8,24.5,956,92.3,False
NC_004350.2,S. agalactiae,36.8,0.06,2.5,AND,31.3,66.3,348,90.5,False
NC_004350.2,S. agalactiae,36.8,0.06,3.0,OR,99.4,3.1,1094,91.3,False
NC_004350.2,S. agalactiae,36.8,0.06,3.0,AND,84.5,27.6,920,92.3,False
NC_004350.2,S. agalactiae,36.8,0.06,3.5,OR,100.0,0.0,1103,91.1,False
NC_004350.2,S. agalactiae,36.8,0.06,3.5,AND,85.0,27.6,925,92.3,False
NC_004350.2,S. agalactiae,36.8,0.06,4.0,OR,100.0,0.0,1103,91.1,False
NC_004350.2,S. agalactiae,36.8,0.06,4.0,AND,85.0,27.6,925,92.3,False
NC_004350.2,S. agalactiae,36.8,0.06,5.0,OR,100.0,0.0,1103,91.1,False
NC_004350.2,S. agalactiae,36.8,0.06,5.0,AND,85.0,27.6,925,92.3,False
NC_004350.2,S. agalactiae,36.8,0.08,2.5,OR,81.8,30.6,890,92.4,False
NC_004350.2,S. agalactiae,36.8,0.08,2.5,AND,29.2,70.4,322,91.0,False
NC_004350.2,S. agalactiae,36.8,0.08,3.0,OR,99.2,3.1,1092,91.3,False
NC_004350.2,S. agalactiae,36.8,0.08,3.0,AND,76.5,37.8,830,92.7,False
NC_004350.2,S. agalactiae,36.8,0.08,3.5,OR,100.0,0.0,1103,91.1,False
NC_004350.2,S. agalactiae,36.8,0.08,3.5,AND,76.8,37.8,833,92.7,False
NC_004350.2,S. agalactiae,36.8,0.08,4.0,OR,100.0,0.0,1103,91.1,False
NC_004350.2,S. agalactiae,36.8,0.08,4.0,AND,76.8,37.8,833,92.7,False
NC_004350.2,S. agalactiae,36.8,0.08,5.0,OR,100.0,0.0,1103,91.1,False
NC_004350.2,S. agalactiae,36.8,0.08,5.0,AND,76.8,37.8,833,92.7,False
NC_004350.2,S. agalactiae,36.8,0.1,2.5,OR,73.2,35.7,799,92.1,False
NC_004350.2,S. agalactiae,36.8,0.1,2.5,AND,27.2,73.5,299,91.3,False
NC_004350.2,S. agalactiae,36.8,0.1,3.0,OR,99.0,3.1,1090,91.3,False
NC_004350.2,S. agalactiae,36.8,0.1,3.0,AND,66.2,45.9,718,92.6,False
NC_004350.2,S. agalactiae,36.8,0.1,3.5,OR,100.0,0.0,1103,91.1,False
NC_004350.2,S. agalactiae,36.8,0.1,3.5,AND,66.3,45.9,719,92.6,False
NC_004350.2,S. agalactiae,36.8,0.1,4.0,OR,100.0,0.0,1103,91.1,False
NC_004350.2,S. agalactiae,36.8,0.1,4.0,AND,66.3,45.9,719,92.6,False
NC_004350.2,S. agalactiae,36.8,0.1,5.0,OR,100.0,0.0,1103,91.1,False
NC_004350.2,S. agalactiae,36.8,0.1,5.0,AND,66.3,45.9,719,92.6,False
NC_004350.2,S. agalactiae,36.8,0.12,2.5,OR,64.2,43.9,700,92.1,False
NC_004350.2,S. agalactiae,36.8,0.12,2.5,AND,24.5,76.5,269,91.4,False
NC_004350.2,S. agalactiae,36.8,0.12,3.0,OR,98.9,3.1,1089,91.3,False
NC_004350.2,S. agalactiae,36.8,0.12,3.0,AND,54.5,57.1,590,92.9,False
NC_004350.2,S. agalactiae,36.8,0.12,3.5,OR,100.0,0.0,1103,91.1,False
NC_004350.2,S. agalactiae,36.8,0.12,3.5,AND,54.5,57.1,590,92.9,False
NC_004350.2,S. agalactiae,36.8,0.12,4.0,OR,100.0,0.0,1103,91.1,False
NC_004350.2,S. agalactiae,36.8,0.12,4.0,AND,54.5,57.1,590,92.9,False
NC_004350.2,S. agalactiae,36.8,0.12,5.0,OR,100.0,0.0,1103,91.1,False
NC_004350.2,S. agalactiae,36.8,0.12,5.0,AND,54.5,57.1,590,92.9,False
